X1,X2,X3,X4,X5,X6,X7,X8
1.945904151,13.20075051,0,0.011959799,1.162430605,7.885771965,0,0.001507538
1.589702682,10.77969876,0,0.006633166,1.283699255,8.704703985,0,0.00281407
1.716316063,11.63561607,0,0.008341709,1.192462952,8.084199276,0,0.001809045
1.392864898,9.355757945,0,0.004020101,1.10068903,7.393236882,0,9.05E-04
1.823517388,12.44421542,0,0.010150754,1.159883209,7.91538189,0,0.001507538
1.361957958,9.306655289,0,0.003718593,2.074653442,14.17671105,0,0.014371859
1.663545841,11.11438258,0,0.007638191,1.200769,8.022505738,0,0.001909548
1.754950732,11.74166939,0,0.008944724,1.067808385,7.144276359,0,6.03E-04
1.953815299,13.26074369,0,0.012361809,1.392526986,9.451222669,0,0.004120603
1.613190229,10.90973858,0,0.006834171,1.100945078,7.445509386,0,9.05E-04
1.783417326,11.99099839,0,0.009246231,1.289827112,8.672291445,0,0.00281407
1.768010695,11.96513335,0,0.009246231,1.099074494,7.438061841,0,9.05E-04
2.039673556,13.82827119,0,0.013467337,1.241947703,8.419969749,0,0.002311558
1.511529724,10.20359917,0,0.005427136,1,6.750511758,0,0
1.794986003,12.13366424,0,0.009547739,1.141954335,7.719330654,0,0.001306533
1.713713849,11.59802807,0,0.008442211,1.119656446,7.577581808,0,0.001105528
1.398679908,9.446089142,0,0.004120603,1.01159504,6.831882594,0,1.01E-04
1.628769723,10.94095612,0,0.007135678,1.161551671,7.8025062,0,0.001507538
1.651608407,11.11773859,0,0.007437186,1.034430454,6.963228891,0,3.02E-04
1.624529606,10.94884091,0,0.007135678,1.045152363,7.044012555,0,4.02E-04
1.712249468,11.57826828,0,0.008341709,1.045513611,7.069785859,0,4.02E-04
1.55204765,10.51860711,0,0.006130653,1.077808671,7.30457338,0,7.04E-04
1.918663896,12.96054701,0,0.011557789,1.110474679,7.501240481,0,0.001005025
1.66662603,11.29285085,0,0.007738693,1.05613982,7.156272165,0,5.03E-04
1.539490176,10.46594792,0,0.005929648,1.266389369,8.609321055,0,0.002613065
1.775537465,11.91277182,0,0.009246231,1.131708978,7.593075955,0,0.00120603
1.911963101,12.90947027,0,0.011557789,1.344703302,9.079363134,0,0.003517588
1.41221144,9.533703022,0,0.004321608,2.395926466,16.17466814,0,0.020603015
1.771015326,11.79137228,0,0.009246231,1.238597522,8.246548902,0,0.002311558
1.597387338,10.79696148,0,0.006733668,1.034155066,6.989996818,0,3.02E-04
1.742735049,11.70596209,0,0.008743719,1,6.717006179,0,0
1.689318704,11.44867365,0,0.007939698,1.034600106,7.011583398,0,3.02E-04
1.676272963,11.43928774,0,0.007939698,1.011390139,6.901968282,0,1.01E-04
1.749504572,11.78459132,0,0.008944724,1.140618604,7.683160314,0,0.001306533
1.633928901,11.07573113,0,0.007236181,1.170918315,7.937173047,0,0.00160804
1.735017804,11.71980818,0,0.008643216,1.322124686,8.930771594,0,0.00321608
1.612984609,10.88019434,0,0.006834171,1.079297398,7.280271233,0,7.04E-04
1.871299613,12.76869715,0,0.010854271,1.219202103,8.319150132,0,0.002110553
1.598743122,10.74951099,0,0.006733668,1.161186305,7.807498763,0,0.001507538
1.678032453,11.39926172,0,0.007839196,1.239123123,8.417649351,0,0.002311558
1.770361741,11.98012846,0,0.009246231,1.045366187,7.074046462,0,4.02E-04
1.666577415,11.11187988,0,0.007537688,1.204281945,8.02953178,0,0.001909548
1.438174197,9.731419363,0,0.004623116,1,6.766509497,0,0
1.471410206,9.94486002,0,0.005025126,1,6.758727091,0,0
1.711317574,11.56561857,0,0.008341709,1.067434979,7.214058925,0,6.03E-04
1.833891273,12.43266551,0,0.010251256,1.088735809,7.380965465,0,8.04E-04
1.928608237,13.0271355,0,0.011658291,1.505319892,10.1679573,0,0.005427136
1.435553197,9.827045448,0,0.004623116,2.21299224,15.14898602,0,0.016984925
1.612467155,10.94659601,0,0.006834171,1.090064776,7.40014994,0,8.04E-04
1.497448912,10.13608916,0,0.005326633,1,6.768904822,0,0
1.530446549,10.23110348,0,0.005829146,1,6.685044628,0,0
1.443419111,9.743341082,0,0.004623116,1.011708185,6.829213943,0,1.01E-04
1.692983119,11.45555635,0,0.008140704,1.139961522,7.713540257,0,0.001306533
1.483519947,9.952299126,0,0.005226131,1,6.708571157,0,0
1.643888666,11.11126048,0,0.007236181,1.046219914,7.071538495,0,4.02E-04
1.978189079,13.3821679,0,0.012562814,2.053340733,13.89055815,0,0.013869347
1.814985084,12.38753548,0,0.010050251,1.03383999,7.056107335,0,3.02E-04
1.809263549,12.25278024,0,0.009949749,1.149563309,7.78512705,0,0.001407035
1.704454854,11.58189233,0,0.008241206,1.07825607,7.326826917,0,7.04E-04
2.026239634,13.76230489,0,0.013266332,1.491119284,10.12774495,0,0.005226131
1.695809129,11.52700693,0,0.008140704,1.011512549,6.875604079,0,1.01E-04
1.382312899,9.343748957,0,0.003919598,2.127530962,14.3810531,0,0.015175879
1.960870122,13.3107679,0,0.012361809,2.22083991,15.0754934,0,0.017085427
1.65328507,11.18083599,0,0.007437186,1.023155579,6.919396375,0,2.01E-04
1.788179414,12.03978655,0,0.009447236,1.221044626,8.22127609,0,0.002110553
1.931539968,13.10571781,0,0.011758794,1.382129595,9.377906097,0,0.003919598
1.599708644,10.80153458,0,0.006733668,1.181348532,7.976688175,0,0.001708543
1.418012778,9.668386999,0,0.004321608,2.245671605,15.31158427,0,0.017286432
1.669090634,11.23426445,0,0.007537688,1.164977557,7.841195495,0,0.001507538
1.709110099,11.65399521,0,0.008341709,1.209506255,8.247321287,0,0.00201005
1.762472623,11.84760669,0,0.009045226,1.286583214,8.648606332,0,0.00281407
1.831852304,12.48510742,0,0.010251256,1.088466555,7.41851394,0,8.04E-04
1.512855707,10.18363954,0,0.005527638,1,6.731401738,0,0
1.701117853,11.49184642,0,0.008140704,1,6.755467529,0,0
1.671998836,11.41293037,0,0.007839196,1,6.825920045,0,0
1.629810761,11.11602101,0,0.007236181,1.308862826,8.927015957,0,0.003115578
1.826270408,12.36457919,0,0.009949749,1.279410049,8.662116407,0,0.002713568
1.630904348,10.9568917,0,0.007135678,1.152082535,7.740026923,0,0.001407035
1.874162416,12.69296183,0,0.010854271,1.49431544,10.12040828,0,0.005326633
1.534456299,10.32263489,0,0.005829146,1,6.727226377,0,0
1.835819052,12.34310627,0,0.010050251,1.517770528,10.20471103,0,0.005527638
1.74024852,11.65828845,0,0.008643216,1.132714269,7.58828956,0,0.00120603
1.62730706,10.97882514,0,0.007035176,1.011703855,6.825583192,0,1.01E-04
1.764580716,11.92984065,0,0.009145729,1.275599914,8.62397711,0,0.002713568
