X1,X2,X3,X4
1.000001482,6.783874767,0,2.01E-04
1.000002269,6.780968133,0,2.01E-04
1.000062572,6.77983757,0,0.001306533
1.003319198,6.739211803,0,0.015477387
1.000043853,6.824591421,0,0.002613065
1.003213409,6.855249329,0,0.017487437
1,6.681139951,0,0
1.000002556,6.690614838,0,8.04E-04
1.000073606,6.787601553,0,0.001507538
1,6.762834526,0,0
1.000000304,6.723609698,0,2.01E-04
1.000000432,6.767571347,0,2.01E-04
1.00000025,6.779650894,0,2.01E-04
1.000000001,6.750511763,0,1.01E-04
1.000104962,6.760463756,0,0.004422111
1.00005052,6.768115935,0,0.003015075
1,6.753574629,0,0
1.000000214,6.71731449,0,2.01E-04
1.000002364,6.731477526,0,3.02E-04
1.000004212,6.739727599,0,4.02E-04
1.000075814,6.762534487,0,0.00281407
1.000000195,6.777246283,0,1.01E-04
1,6.754985614,0,0
1.000001302,6.775884543,0,7.04E-04
1.000001192,6.798328799,0,2.01E-04
1.000001953,6.709402266,0,2.01E-04
1,6.751945297,0,0
1.000001519,6.750913663,0,1.01E-04
1.000012896,6.658058897,0,0.001005025
1.000005488,6.75917511,0,2.01E-04
1.000198308,6.718338212,0,0.009447236
1.000009443,6.77715918,0,0.001105528
1.000075941,6.824757485,0,0.00281407
1.000768423,6.74113521,0,0.008241206
1,6.778588176,0,0
1.000368907,6.757355273,0,0.004221106
1.000067767,6.745837251,0,0.001909548
1.000004895,6.823471538,0,8.04E-04
1,6.723726184,0,0
1.000073531,6.7937303,0,0.003819095
1.000000383,6.767053749,0,1.01E-04
1.000026346,6.667660638,0,0.00120603
1.00001424,6.766605852,0,8.04E-04
1.000001221,6.758735341,0,7.04E-04
1.000010265,6.758381656,0,0.00120603
1,6.77939074,0,0
1.000038133,6.754939662,0,0.002512563
1.000000371,6.845478879,0,5.03E-04
1,6.788724951,0,0
1.000143363,6.76987523,0,0.002713568
1.000009124,6.685105625,0,8.04E-04
1,6.750181572,0,0
1.000000964,6.766498296,0,2.01E-04
1,6.708571157,0,0
1.000049361,6.759465632,0,0.001306533
