X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0.737661907,3.644471718,1,0,0.757222802,3.741113728,1,0.001218274,0.757105734,3.740535341,1,0.001218274
0.750670723,3.671010712,0.96,0,0.766213121,3.747017821,1,0.001624365,0.758216247,3.707910643,1,0.001218274
0.750675556,3.668889815,0.96,0,0.759933808,3.714139063,1,0.001218274,0.757442801,3.701964388,1,0.001015228
0.764544984,3.735441691,0.92,0,0.753579378,3.681865531,1,6.09E-04,0.760429078,3.715332046,1,0.001218274
0.763214299,3.748671953,0.92,0,0.772055129,3.792095369,1,0.002030457,0.761973756,3.74257879,1,0.00142132
0.739071586,3.608839103,1,0,0.74600736,3.642706043,1,4.06E-04,0.755311161,3.688135906,1,0.001015228
0.735262639,3.619665699,1,0,0.750775899,3.696036799,1,0.001015228,0.743693848,3.661172173,1,6.09E-04
0.734754857,3.601486719,1,0,0.752615073,3.689030657,1,0.001015228,0.75549553,3.70314955,1,0.001218274
0.750132863,3.703359453,0.96,0,0.757605506,3.740251429,1,0.001015228,0.756478542,3.734687678,1,0.001015228
0.73892961,3.604851952,1,0,0.753474991,3.675811276,1,8.12E-04,0.779541287,3.802975132,1,0.002639594
0.7546193,3.693931151,0.96,0,0.765044785,3.744964862,1,0.001218274,0.776279667,3.799960646,1,0.002030457
0.735260579,3.610517192,1,0,0.742934645,3.648200903,1,4.06E-04,0.748194492,3.674029524,1,8.12E-04
0.739191552,3.626110285,1,0,0.780057183,3.826576977,1,0.002436548,0.752091643,3.689391791,1,8.12E-04
0.737832416,3.624655205,1,0,0.753831806,3.703253369,1,0.001015228,0.753135958,3.699834968,1,0.001015228
0.741712911,3.646929106,1,0,0.762780281,3.750515282,1,0.001218274,0.758311096,3.728540743,1,0.001015228
0.739320689,3.618950999,1,0,0.762710055,3.733441194,1,0.00142132,0.757237134,3.706651419,1,0.001218274
0.7374218,3.60966717,1,0,0.762169043,3.730804506,1,0.001624365,0.758405325,3.712381169,1,0.00142132
0.738831054,3.634541897,1,0,0.755014449,3.714153098,1,0.001015228,0.751018551,3.694496019,1,8.12E-04
0.739236438,3.607762556,1,0,0.76745966,3.745502902,1,0.001624365,0.762999209,3.723734159,1,0.00142132
0.749535645,3.671575107,0.96,0,0.754958309,3.698137843,1,0.001015228,0.748559995,3.666795915,1,6.09E-04
0.742944998,3.645502024,1,0,0.758758956,3.723098366,1,0.001015228,0.765303848,3.755213018,1,0.00142132
0.739685008,3.626886556,1,0,0.768837338,3.769828742,1,0.001827411,0.765326177,3.75261252,1,0.00142132
0.736367695,3.619446718,1,0,0.76230717,3.746946267,1,0.00142132,0.748692298,3.680025485,1,8.12E-04
0.748928425,3.675054558,0.96,0,0.759118691,3.725059047,1,0.00142132,0.758825614,3.723620895,1,0.00142132
0.739811676,3.632592716,1,0,0.76061473,3.73473901,1,0.001218274,0.766508902,3.763680331,1,0.001624365
0.758251835,3.716099472,0.96,0,0.764521396,3.74682582,1,0.001015228,0.752379944,3.687322048,1,4.06E-04
0.764684142,3.751796148,0.92,0,0.75451052,3.701880958,1,6.09E-04,0.750762531,3.683492068,1,4.06E-04
0.738098813,3.603560355,1,0,0.759667158,3.708861745,1,0.001218274,0.755313923,3.687608296,1,0.001015228
0.742040322,3.630879172,1,0,0.774459024,3.789507197,1,0.002030457,0.771855793,3.776769318,1,0.001827411
0.750567147,3.673349728,0.96,0,0.777650926,3.805900418,1,0.002233503,0.763633226,3.737296408,1,0.001624365
0.740052577,3.643068406,1,0,0.771212321,3.796458965,1,0.002030457,0.766602431,3.77376579,1,0.001624365
0.736202243,3.63158466,1,0,0.752755255,3.713238398,1,0.001015228,0.750899582,3.704084619,1,8.12E-04
0.734155341,3.616898735,1,0,0.755952244,3.724283625,1,0.001218274,0.762802274,3.758031068,1,0.001624365
0.736502356,3.613302663,1,0,0.74586052,3.659214094,1,6.09E-04,0.741117185,3.635943152,1,4.06E-04
0.734399669,3.606867206,1,0,0.734399669,3.606867206,1,0,0.753863167,3.70245855,1,0.001218274
0.734288165,3.587756789,1,0,0.764641269,3.736063081,1,0.001827411,0.765800035,3.741724849,1,0.001827411
0.737236942,3.630146247,1,0,0.756859814,3.726769047,1,0.001218274,0.77254688,3.804011979,1,0.002233503
0.748314661,3.677768486,0.96,0,0.752577401,3.698718721,1,8.12E-04,0.755663311,3.713885156,1,0.001015228
0.761568716,3.727546646,0.92,0,0.784783312,3.841171966,1,0.002436548,0.797651135,3.904154348,1,0.003248731
0.735426569,3.608123378,1,0,0.77970829,3.82537676,1,0.002639594,0.782741724,3.84025929,1,0.002639594
0.760593552,3.711704023,0.92,0,0.752727081,3.673315565,1,8.12E-04,0.744948392,3.635355487,1,4.06E-04
0.765384243,3.729332467,0.92,0,0.75461143,3.676841968,1,6.09E-04,0.745250413,3.63123044,1,2.03E-04
0.748107379,3.674149398,0.96,0,0.75839282,3.724663867,1,0.001218274,0.779471993,3.828189157,1,0.002639594
0.740195455,3.595962293,1,0,0.758017335,3.682543218,1,0.001015228,0.760955471,3.696817051,1,0.001218274
0.750212463,3.678604375,0.96,0,0.767262068,3.762205696,0.96,0.001015228,0.755540282,3.704728892,1,0.001015228
0.751316419,3.6940253,0.96,0,0.763663043,3.754730401,1,0.00142132,0.749874776,3.686937122,1,6.09E-04
0.736169428,3.604726356,1,0,0.751167396,3.678165386,1,8.12E-04,0.749527612,3.670136023,1,8.12E-04
0.736362413,3.598293211,1,0,0.761887118,3.723021697,1,0.001624365,0.748213922,3.656206546,1,8.12E-04
0.742912503,3.652738561,1,2.03E-04,0.771927843,3.795400654,1,0.002030457,0.769385473,3.782900376,1,0.001827411
0.741573103,3.642712667,1,0,0.752701634,3.697377595,1,6.09E-04,0.754446187,3.705947088,1,8.12E-04
0.749876351,3.686387697,0.96,0,0.759799054,3.735167649,1,0.001218274,0.76993447,3.784993292,1,0.001827411
0.738804456,3.638183286,1,0,0.758998224,3.73762588,1,0.001015228,0.761541853,3.750151778,1,0.00142132
0.740684778,3.646456041,1,0,0.780724539,3.843575292,1,0.002233503,0.798556445,3.931363326,1,0.003248731
0.738347163,3.617284724,1,0,0.774577494,3.794783098,1,0.002233503,0.746370415,3.656591959,1,6.09E-04
0.752637999,3.703172721,0.96,0,0.764771128,3.762870836,1,0.00142132,0.751360895,3.696889041,1,6.09E-04
0.737775959,3.610646296,1,0,0.758402123,3.711589922,1,0.001218274,0.773183029,3.78392709,1,0.002030457
0.735630893,3.607305891,1,0,0.769122789,3.771539772,1,0.002030457,0.750254979,3.679017878,1,8.12E-04
0.736561771,3.621921011,1,0,0.746321166,3.669911229,1,6.09E-04,0.753844948,3.706908182,1,0.001218274
0.748521232,3.670996503,0.96,0,0.751242254,3.684341302,1,8.12E-04,0.744979492,3.653626637,1,6.09E-04
0.747004222,3.645316812,1,2.03E-04,0.775587219,3.784799398,1,0.002030457,0.762184772,3.719396599,1,0.001218274
0.764240887,3.751579887,0.92,0,0.773748226,3.798250437,1,0.001827411,0.759855954,3.730054701,1,0.001218274
0.740374922,3.628700291,1,0,0.767271025,3.760522552,1,0.001624365,0.759624593,3.723046123,1,0.001218274
0.737607121,3.628657677,1,0,0.766656397,3.771565568,1,0.001827411,0.754705842,3.712774821,1,0.001015228
0.735674455,3.614825757,1,0,0.756581689,3.717555991,1,0.001218274,0.751267656,3.691444841,1,0.001015228
0.752903895,3.688890909,0.96,0,0.766254272,3.754301762,1,0.00142132,0.766385931,3.754946832,1,0.001624365
0.738141739,3.604918195,1,0,0.764782029,3.735023376,1,0.001624365,0.763717151,3.729822752,1,0.001624365
0.749107098,3.677010199,0.96,0,0.749507156,3.67897389,1,6.09E-04,0.756003704,3.710862352,1,0.001015228
0.752292913,3.708842091,0.96,0,0.758064899,3.737298277,1,0.001015228,0.761976933,3.756584801,1,0.00142132
0.745342208,3.64714721,1,0,0.76618635,3.749142846,1,0.001218274,0.777272909,3.803392175,1,0.002030457
0.769361047,3.780075451,0.92,2.03E-04,0.772716136,3.796559896,0.96,0.001015228,0.767671413,3.77177383,1,0.00142132
0.736787701,3.602083553,1,0,0.748955134,3.661568953,1,6.09E-04,0.745938003,3.646818492,1,6.09E-04
0.736449189,3.636433012,1,0,0.758099787,3.743339166,1,0.001218274,0.761315893,3.759219632,1,0.00142132
0.736457991,3.627746138,1,0,0.752085877,3.704728127,1,0.001015228,0.748674531,3.68792405,1,8.12E-04
0.761098545,3.73155742,0.92,0,0.755819854,3.705676751,1,0.001015228,0.758862575,3.72059478,1,0.001218274
0.735382476,3.621572652,1,0,0.75187885,3.702813118,1,0.001015228,0.750759634,3.697301263,1,0.001015228
0.746236243,3.685175096,0.96,0,0.7560865,3.733819105,0.96,6.09E-04,0.763068405,3.76829819,1,0.001827411
