S,zero_prop,r_complete,r_impute,
0.02,0.185,0.590867167,0.591223076,
0.01,0.4,0.516574772,0.563041634,
0.005,0.68,0.10667257,-0.008928594,
0.1,0,0.791932154,0.791932154,
0.05,0.035,0.761259599,0.780806862,
0.02,0.205,0.701045693,0.673574933,
0.01,0.43,0.678327898,0.613810653,
0.005,0.695,0.364065303,0.614166711,
0.1,0.01,0.820987064,0.833070943,
0.05,0.07,0.74956181,0.752948528,
0.02,0.215,0.633449362,0.708574907,
0.01,0.42,0.511910168,0.569204306,
0.005,0.66,0.364781022,0.063021737,
0.1,0.005,0.751151552,0.763988699,
0.05,0.05,0.670715566,0.701399007,
0.02,0.15,0.590040505,0.550588278,
0.01,0.385,0.504361626,0.575173514,
0.005,0.605,0.132117224,0.202327234,
0.1,0.005,0.810509703,0.820101897,
0.05,0.035,0.775227917,0.778063127,
0.02,0.18,0.754367277,0.716837821,
0.01,0.46,0.630466878,0.613607576,
0.005,0.685,0.379623081,0.480727633,
0.1,0,0.776058094,0.776058094,
0.05,0.015,0.732627654,0.749184102,
0.02,0.145,0.69065813,0.722314693,
0.01,0.355,0.57695538,0.617924968,
0.005,0.66,0.661326694,0.803622234,
0.1,0.01,0.759103575,0.746347759,
0.05,0.065,0.710691662,0.730885468,
0.02,0.19,0.65605589,0.650242867,
0.01,0.45,0.685864162,0.641664629,
0.005,0.745,0.571357026,0.446770355,
0.1,0,0.774349731,0.774349731,
0.05,0.045,0.759516789,0.746803896,
0.02,0.25,0.699034392,0.66336715,
0.01,0.51,0.695235946,0.627132818,
0.005,0.74,0.59091892,0.664584793,
0.1,0,0.800507337,0.800507337,
0.05,0.045,0.785927439,0.765866849,
0.02,0.215,0.720247848,0.729589725,
0.01,0.42,0.690900439,0.637745801,
0.005,0.725,0.697779135,0.775573507,
0.1,0.005,0.791470853,0.797228562,
0.05,0.035,0.757077063,0.761277181,
0.02,0.19,0.644564049,0.649960169,
0.01,0.425,0.577501195,0.53150106,
0.005,0.63,0.529008245,0.586381298,
0.1,0,0.739395521,0.739395521,
0.05,0.03,0.689747823,0.7151585,
0.02,0.205,0.575970858,0.516124424,
0.01,0.475,0.276527396,0.226064639,
0.005,0.695,-0.067410673,-0.201712852,
0.1,0.005,0.77594584,0.772314869,
0.05,0.04,0.752059211,0.740989958,
0.02,0.3,0.742259854,0.678245235,
0.01,0.54,0.737785881,0.71555767,
0.005,0.81,0.559084916,0.370294726,
0.1,0,0.766825483,0.766825483,
0.05,0.045,0.739969511,0.742024059,
0.02,0.26,0.662830382,0.668791702,
0.01,0.515,0.529539909,0.629274305,
0.005,0.755,0.125699032,0.126393169,
0.1,0,0.788303541,0.788303541,
0.05,0.045,0.7289834,0.735189828,
0.02,0.16,0.623335161,0.568553997,
0.01,0.37,0.485326924,0.424340035,
0.005,0.675,0.312707775,0.067791938,
0.1,0.015,0.819463503,0.836452165,
0.05,0.095,0.778584836,0.784900099,
0.02,0.235,0.702570748,0.705338233,
0.01,0.415,0.569163377,0.51981572,
0.005,0.695,0.361120275,0.175949704,
0.1,0.02,0.787709517,0.79589237,
0.05,0.045,0.751344093,0.755548145,
0.02,0.245,0.722524452,0.757452681,
0.01,0.46,0.497600848,0.398461224,
0.005,0.665,0.253803629,0.140772533,
0.1,0.015,0.753669392,0.779516566,
0.05,0.05,0.742298682,0.741231687,
0.02,0.225,0.672498463,0.690328873,
0.01,0.5,0.6757634,0.595300481,
0.005,0.72,0.688870872,0.593053775,
0.1,0.015,0.779718554,0.781864319,
0.05,0.06,0.72613949,0.730012145,
0.02,0.19,0.591852446,0.63229509,
0.01,0.44,0.345506872,0.160422378,
0.005,0.76,0.487766883,0.155582547,
0.1,0.01,0.831950169,0.831995414,
0.05,0.055,0.769248783,0.784778954,
0.02,0.21,0.661908814,0.541528407,
0.01,0.415,0.694777854,0.73058336,
0.005,0.675,0.558652729,0.375239059,
0.1,0.005,0.799822668,0.804955647,
0.05,0.025,0.768677467,0.765610241,
0.02,0.16,0.737810302,0.733819935,
0.01,0.375,0.656292033,0.696405814,
0.005,0.645,0.776082442,0.688446148,
0.1,0,0.793113882,0.793113882,
0.05,0.05,0.725597933,0.754900601,
0.02,0.215,0.638320995,0.568916198,
0.01,0.475,0.611746909,0.464589359,
0.005,0.74,0.654932408,0.62664684,
0.1,0,0.787443199,0.787443199,
0.05,0.03,0.739764909,0.758475938,
0.02,0.205,0.68686875,0.680848425,
0.01,0.435,0.707775958,0.695835592,
0.005,0.7,0.478826736,0.129027803,
0.1,0,0.774677286,0.774677286,
0.05,0.035,0.738986629,0.768092732,
0.02,0.21,0.755475625,0.702286057,
0.01,0.415,0.648989746,0.468703113,
0.005,0.695,0.634394611,0.315636625,
